Model	Adjusted R-Squared	R-Squared	RMSE	Time Taken
SVR	-0.08289537814517844	-0.00695601081381958	1.919301256017645	0.7674894332885742
LassoLars	-0.08922813130718854	-0.012844671888732062	1.9249050951989575	0.022145748138427734
LarsCV	-0.08922813130718854	-0.012844671888732062	1.9249050951989575	0.10159778594970703
DummyRegressor	-0.08922813130718854	-0.012844671888732062	1.9249050951989575	0.014162778854370117
ElasticNet	-0.08922813130718854	-0.012844671888732062	1.9249050951989575	0.5675883293151855
ElasticNetCV	-0.08922813130718854	-0.012844671888732062	1.9249050951989575	0.21129512786865234
LassoLarsCV	-0.08922813130718854	-0.012844671888732062	1.9249050951989575	0.11654019355773926
LassoCV	-0.08922813130718854	-0.012844671888732062	1.9249050951989575	0.1535177230834961
Lasso	-0.08922813130718854	-0.012844671888732062	1.9249050951989575	0.029695749282836914
NuSVR	-0.09567749298212869	-0.018841764161502628	1.9305954030636032	8.129968404769897
GaussianProcessRegressor	-0.10301540370801177	-0.025665094892583173	1.9370493537301112	2.4479382038116455
LassoLarsIC	-0.11105124344130157	-0.03313741150292149	1.9440925783093417	0.035986900329589844
LinearSVR	-0.11170413279861147	-0.033744516192818264	1.94466370000568	0.39136528968811035
HuberRegressor	-0.11180701943911231	-0.03384018778139053	1.9447536858571448	0.7421069145202637
BayesianRidge	-0.1212553556534981	-0.04262594782365947	1.9529996374963272	0.32852983474731445
PoissonRegressor	-0.12183461068253898	-0.04316458188292205	1.9535040448040202	0.11984443664550781
OrthogonalMatchingPursuitCV	-0.14018856718824946	-0.06023144466452934	1.9694195213393475	0.16344690322875977
GeneralizedLinearRegressor	-0.14205044557046898	-0.06196275654028183	1.971026853678697	0.16437292098999023
TweedieRegressor	-0.14205044557046898	-0.06196275654028183	1.971026853678697	0.20711278915405273
OrthogonalMatchingPursuit	-0.16791494574664068	-0.0860134769004528	1.9932212358267591	0.05679059028625488
SGDRegressor	-0.37220461907829594	-0.27597708618360484	2.1605251984400313	0.0567784309387207
KernelRidge	-0.4088087531616069	-0.31001431044340166	2.1891520050402233	0.3386878967285156
RidgeCV	-0.4222924601060747	-0.3225524558910624	2.1996032430469312	0.22704744338989258
Ridge	-0.4292649072939483	-0.3290359516632366	2.2049881648495813	0.031138181686401367
LinearRegression	-0.4300606907586393	-0.32977592983587356	2.2056019240403195	0.025023937225341797
TransformedTargetRegressor	-0.4300606907586393	-0.32977592983587356	2.2056019240403195	0.08311176300048828
Lars	-0.4300606907586395	-0.3297759298358738	2.2056019240403195	0.03037858009338379
ExtraTreesRegressor	-0.5135012473998974	-0.40736511504366346	2.2690354916870565	2.73154616355896
HistGradientBoostingRegressor	-0.5786518478081293	-0.4679469496448665	2.3173577176169387	266.67242765426636
LGBMRegressor	-0.7708208352447699	-0.6466398510060063	2.4543540357909794	419.10359835624695
RandomForestRegressor	-0.7967398856648491	-0.6707412962072861	2.4722506618896016	15.324540853500366
GradientBoostingRegressor	-0.9380158358892159	-0.8021100970470549	2.567607042239597	2.1877522468566895
BaggingRegressor	-1.5746199121478437	-1.39407153121181	2.9594190109429688	1.3944647312164307
KNeighborsRegressor	-1.7025266673964419	-1.513008668280282	3.032039756266935	0.21664738655090332
ExtraTreeRegressor	-2.262468753346977	-2.033684128287582	3.3313715910122177	0.04989814758300781
MLPRegressor	-2.495129041852501	-2.2500288285388614	3.4481131185416487	14.138549089431763
XGBRegressor	-2.750893486086376	-2.487857477244414	3.572047811914287	177.7496099472046
PassiveAggressiveRegressor	-2.980874613386623	-2.7017108957578277	3.67992651955973	0.07366013526916504
AdaBoostRegressor	-3.2098799602393164	-2.9146569616250586	3.7842929943174193	0.6125810146331787
DecisionTreeRegressor	-22.742041819142315	-21.07710200012813	8.986879742864371	0.26178646087646484
